,Company_ID,guid,Employee_Size_Location,Primary_NAICS_Code
0,2613929,6b0688f7-c132-4330-9c21-1585dd85c72d,1,81341002
1,9201863,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,10,45112020
2,8504447,af03fc19-ac73-4ea5-9749-a933317cbc84,4,62132003
3,124551,00dab1f9-c5d6-466b-a23b-c5efbd388b86,17,72119909
4,1379517,ba4fb4d2-f05c-44bb-9757-6b4198dc107f,1,81211202
5,7929996,f278838d-0a00-44b0-824a-32240a0fd364,2,23899092
6,7494548,ba49a37a-824d-44ac-afaf-3a06e6bcd78d,10,49211001
7,7929987,510e3f6e-4ec1-4c8a-a34c-51943cf733f8,6,62121003
8,14502712,7ec62707-64f3-49ad-8b96-59da0c83cd8a,20,72251117
9,8974705,56113026-3e3d-49e7-8e84-dfa7d285a09d,2,81391002
10,1387013,510e3f6e-4ec1-4c8a-a34c-51943cf733f8,4,62121003
11,14502707,32525316-9410-474d-8169-b695f89eef87,15,23891006
12,6314403,4ba97e52-f049-4cac-9500-74761d2eaef3,2,44419031
13,1101491,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62139103
14,7309195,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
15,15367201,543c99a1-f069-42a4-8bbc-9cd34d0210d1,5,44419069
16,124513,b3e31005-960a-475e-a601-0f762e319df3,12,72111002
17,7930041,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,53113001
18,1713233,b556ecec-d49b-416c-aa0e-0c163de2fe92,1,56174001
19,10959902,a718f7a6-cbee-46ef-9402-f51c5bc99c6b,1,53113001
20,15600378,4851fde8-07fd-49d1-90eb-359403e819a6,8,33995008
21,6249833,f278838d-0a00-44b0-824a-32240a0fd364,1,23811001
23,14502691,4f9b49b8-a440-4930-b736-0073817e4e64,5,52213003
24,2888358,264e708a-7741-4914-b832-597a4e6494d4,1,62139901
25,10968989,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,81211101
26,8504444,de2bffad-0afb-4cf8-acc4-19f080230be5,36,72251117
27,11754089,47d5c5d0-4a41-424b-a673-58c207472ad9,8,44821007
28,8768206,7900e84b-0d20-4faf-bf22-06bddb8c1395,10,44522004
29,5437596,4cd31e3d-e38b-4188-8ff8-be18d21c0d3f,5,72111002
30,8197328,f278838d-0a00-44b0-824a-32240a0fd364,10,71219004
31,15549851,56113026-3e3d-49e7-8e84-dfa7d285a09d,4,72251512
32,125175,28d9c967-506f-4a1a-b117-a0893b951ca0,5,62131002
33,15600367,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,4,92112006
34,8504453,cada5e3e-094b-495f-86f9-e8c28e6f47da,9,44422008
35,11999470,c42efed7-fd70-4b2e-9948-60167953eba9,10,44814001
36,6249937,264e708a-7741-4914-b832-597a4e6494d4,4,48821008
37,3489091,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,4,62121003
38,7930035,32525316-9410-474d-8169-b695f89eef87,2,23899072
39,10385955,b279d9f4-f8b2-4fbd-a0bc-0e12572bd845,3,72251115
40,124559,95e7d1e9-1503-4a82-bd81-eced719f41ed,40,71219004
41,2918319,82d3f5b9-5422-45a1-bcd4-2ddc78f132e0,2,53111002
42,9201855,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,6,53229201
43,8302732,ffc92a79-dfc2-47be-94be-700587debae9,2,53229201
45,3787426,0d484aee-9aff-4a66-815c-b60ef56c79b7,2,51211016
46,4729029,3cb1b7de-51e8-4eee-8766-607e62e75bbe,1,71219007
47,1027413,b869173b-7921-4e11-82ff-6b3840c4a233,9,72251117
48,14502688,c775fe75-a704-4119-9dda-4190ecde9e10,100,72111002
49,125145,5fcd46a2-9059-4fc6-b99d-90f564859191,45,72251117
50,15600373,f3f9d2f4-b6a9-46de-9978-34793b413735,10,44719005
51,11750180,1c773c85-0411-4deb-9662-92c63c4f0caf,17,72111002
52,2495733,3465b496-2650-43af-a404-4e5af682e0aa,1,44122801
53,15600374,47d5c5d0-4a41-424b-a673-58c207472ad9,8,44821007
54,3033790,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,23831003
55,12419252,3031b6cf-e349-4d44-b0ca-3f283af75dea,3,72251117
57,15367204,66b6f6a8-a064-47b7-ae5e-1a5814a11f82,1,62132003
58,10736828,36b2ebb5-8083-4c1d-b27a-a920c017fbc3,2,53121005
59,3794406,6d2093bf-c7d6-437b-8fcd-4a2d24618494,1,62139932
60,946172,c42efed7-fd70-4b2e-9948-60167953eba9,12,45399832
61,15103150,dd58d73a-c861-4976-9c03-a8f48b38d59a,20,72111002
62,8504455,3031b6cf-e349-4d44-b0ca-3f283af75dea,4,44529202
63,7930009,f278838d-0a00-44b0-824a-32240a0fd364,2,56173011
64,11442749,00773410-b137-4179-b4aa-57c8513ae387,5,62121003
65,1144301,66b6f6a8-a064-47b7-ae5e-1a5814a11f82,1,62132003
66,7494560,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,56174001
67,5841342,8deba40c-e565-4ecf-aa98-00aa59db562d,2,45411101
68,3794391,00773410-b137-4179-b4aa-57c8513ae387,1,81219908
69,10959922,742d8fa2-202d-4c73-8f38-d84718c2dcb4,3,45391004
70,1489307,c619e85a-cfcd-42b6-bc5c-cb417fa28fd9,20,72251117
71,7443236,f278838d-0a00-44b0-824a-32240a0fd364,1,62139923
72,5321969,38f76189-190a-480a-a69f-e255a3bf2d32,3,56173009
74,8504449,ba49a37a-824d-44ac-afaf-3a06e6bcd78d,1,56173009
75,1435006,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,4,62121003
76,125147,264e708a-7741-4914-b832-597a4e6494d4,6,81341002
77,15600376,c42efed7-fd70-4b2e-9948-60167953eba9,7,81211202
78,10440356,b3e31005-960a-475e-a601-0f762e319df3,15,72111002
79,11722550,1c814a0b-a55f-4960-b74c-4e20b1a69c71,2,53223006
80,9383517,35addb54-7822-49da-8c28-3e6747babec3,1,52393005
81,7746757,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
82,14210929,47d5c5d0-4a41-424b-a673-58c207472ad9,1,62134007
83,14498179,f5afc5ae-2c46-4edb-ab7a-40ad70680524,12,23822002
84,8768233,fb1d7564-a6cc-46de-8052-d2f088d0c1b5,5,44412003
85,1387003,08de0e39-7c16-42fa-9bf2-433dc3e0f2b9,6,54137002
86,14174878,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,12,62151106
87,3010074,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
88,125173,33796671-0471-4f8e-8b31-b01b50058969,2,81211202
89,1713230,65793ce5-16f8-45b9-baae-40b2ee95ee06,150,72111002
91,15600371,47d5c5d0-4a41-424b-a673-58c207472ad9,2,53112008
92,1683383,56113026-3e3d-49e7-8e84-dfa7d285a09d,2,44831012
93,11692586,0e2974b8-f0f4-4153-8b79-8be85ad22f58,2,81311008
94,9201861,b972e786-9433-41d1-9fe4-959d77d528db,2,44112005
95,2112702,f278838d-0a00-44b0-824a-32240a0fd364,2,61111007
96,5152712,a0345c6f-6f0f-404e-a493-b2be7bb2a6b0,3,72131006
97,10027471,b869173b-7921-4e11-82ff-6b3840c4a233,5,45121105
98,12315024,ad9b7cc0-652e-4ac7-8a3b-c1bf8e986159,3,71394010
99,12114207,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,5,72251303
100,11676973,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,3,45399876
101,12806436,da36644a-00b2-4dab-901a-27a3abeaf974,10,72251117
102,8974702,c42efed7-fd70-4b2e-9948-60167953eba9,5,45399832
103,125146,5ed9bac6-6350-415c-ade8-fdccbab02ba0,26,72111002
104,9201881,264e708a-7741-4914-b832-597a4e6494d4,3,53139008
105,14502690,95e7d1e9-1503-4a82-bd81-eced719f41ed,14,62441006
106,3794360,e126afb3-290b-4302-a4a3-d58413d3197b,5,44422008
107,9201854,bce325d9-7a0c-4c03-91a3-1968ad24dfdb,1,44812010
108,125188,fb1d7564-a6cc-46de-8052-d2f088d0c1b5,12,23822030
109,10440366,4d2f83f9-1f35-4e73-b941-7416c3f6ef68,3,54119106
110,3794423,0c91da96-e451-4f3a-bf45-1ca5d8c292e5,3,53121003
111,13015838,807f2e0f-0715-4eaa-9d9e-96bae140af32,9,44812010
112,15103141,74480775-2782-428f-968a-df6012af5cd7,2,52229101
113,1101497,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,18,92811006
114,11651382,f278838d-0a00-44b0-824a-32240a0fd364,2,44831012
115,12010675,f28175e7-610f-4d49-b8a3-e4c6917cd672,10,72251117
116,1101495,16011834-0ce1-4017-bc6b-42c1d0fcae6f,2,53121003
117,6600826,5ba32992-0ab4-413a-89c9-deb1a81a2f87,7,81311008
118,125162,7ec62707-64f3-49ad-8b96-59da0c83cd8a,10,71311001
120,1387012,ba4fb4d2-f05c-44bb-9757-6b4198dc107f,2,52421001
121,7121526,6d2093bf-c7d6-437b-8fcd-4a2d24618494,1,62139932
123,12317210,de2bffad-0afb-4cf8-acc4-19f080230be5,1,62133002
124,10096703,a8ea9fef-f814-42d6-83ad-308746cdbcc7,5,72231009
126,8768224,32525316-9410-474d-8169-b695f89eef87,3,48531002
127,125161,c1e96001-1892-4cb2-aec2-aa77d5ec8066,6,81221002
128,3794438,b3e31005-960a-475e-a601-0f762e319df3,15,72251117
129,1213005,742d8fa2-202d-4c73-8f38-d84718c2dcb4,3,44812001
130,5504130,f278838d-0a00-44b0-824a-32240a0fd364,10,23731010
131,10027488,bc2b1846-bf3c-4698-a7f6-a4dc291aa292,12,92112006
132,3794361,a5f1515a-6fe2-461a-b0bc-8aba0b4f1055,4,54133022
134,4831194,19c13cd0-1183-49a3-bee2-69fd29528e56,2,23822025
135,14502702,01d7119c-4d5b-46e6-a302-85f7fe94b529,8,53111004
136,15600275,47d5c5d0-4a41-424b-a673-58c207472ad9,6,45121105
137,125171,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,5,72251115
138,5237417,9094e0ee-e967-421c-93e8-e1aa79337cb5,10,72251117
139,10440355,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,61161011
140,15600381,e46dcfa4-cd3d-4423-b930-15032b6c2989,1,53131111
141,125182,9e7a3e0c-a59a-41f3-a2cf-38d1d45ebd1c,4,81311008
142,8974716,47d5c5d0-4a41-424b-a673-58c207472ad9,30,44821007
143,125183,30faf35f-58c9-4f11-8a20-b2eaa349faba,1,53111002
144,3794405,6d2093bf-c7d6-437b-8fcd-4a2d24618494,1,62139923
145,10440368,ba49a37a-824d-44ac-afaf-3a06e6bcd78d,1,61169201
146,12571786,04e6f838-bdbc-4b3f-85ee-87b318fc2181,8,72251117
147,5592668,3b64760e-43dd-479f-bd3c-a1340187c7c5,2,54111002
148,11658748,f2fce69b-2693-4624-9c9b-2eeed6fa7672,3,81111104
149,15367200,5c80d86d-6e3a-42a6-85ed-46a4a3f72b88,5,45331001
151,1942318,6d53d618-88ec-48bf-a166-185abb45678a,2,48551002
152,11449676,6a2e1eaa-fa76-4701-b150-d3ee81f5cb52,30,72251117
153,5504088,6d8ec4ad-0858-4281-8088-160dbb0e5773,2,54111002
154,10959928,16d2eeff-564b-4bd1-9b17-39fd9d199b03,2,23835003
155,2933448,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,48811907
156,12004755,eefae509-9be8-47e4-96a6-99c01526c857,8,72251505
157,7979484,3b64760e-43dd-479f-bd3c-a1340187c7c5,1,81219908
158,8974638,35addb54-7822-49da-8c28-3e6747babec3,2,53131111
159,11270806,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
160,12316732,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,1,62133002
161,15367208,8deba40c-e565-4ecf-aa98-00aa59db562d,2,56162204
162,7494594,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,23832003
163,8974721,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,92112007
164,12804705,1b88ec43-3d63-4315-b182-c124b412386a,1,54111002
165,125133,63b20c2a-41c0-4314-979c-1f71adc274ad,11,52211002
166,8768241,3a497b68-28b7-4207-aaa4-90aba4a98019,1,92211001
167,3794385,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,81231001
168,9513922,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
169,7929978,59f59640-f0c5-495e-b3ea-925d387937b3,4,72241001
171,14498153,d5b5fc96-3d28-47b7-8e4d-f22958ed58d4,5,44419018
172,1166831,1c814a0b-a55f-4960-b74c-4e20b1a69c71,2,81221002
173,2382220,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,1,81211202
